10000 4
0.01119 0.79051 0 -0.0008249997 0.0002749999   1.000000 0.0976 0.4392
2.05458 1.31254 0 -0.0001100000 -0.0002750000   1.000000 0.0063 0.4459
-0.00373 -0.07458 0 0.0021999945 0.0003849990   0.999998 0.0722 0.4517
-0.40644 3.33356 0 0.0002750000 -0.0004399999   1.000000 0.0048 0.4470
1.11492 2.58780 0 0.0010999993 -0.0003299998   0.999999 0.0299 0.4505
-1.21186 -2.22983 0 0.0001650000 -0.0002200000   1.000000 0.0589 0.4425
-0.07831 3.87051 0 -0.0017599964 -0.0009899980   0.999998 0.0188 0.4497
-0.10068 -0.35797 0 0.0009899993 0.0006049996   0.999999 0.7593 0.4468
1.21932 -0.36542 0 0.0015399971 0.0011549979   0.999998 0.0759 0.4434
-0.16034 2.25220 0 0.0012099990 -0.0004949996   0.999999 0.5474 0.4473
0.68983 1.01424 0 0.0010449989 0.0009899990   0.999999 0.0812 0.4458
0.99559 1.62576 0 -0.0011549992 -0.0000550000   0.999999 0.0155 0.4436
1.40576 0.79051 0 0.0025849914 0.0000549998   0.999997 0.0207 0.4512
0.86881 -2.83390 0 0.0008249997 -0.0002749999   1.000000 0.0149 0.4546
-1.01051 -1.15593 0 -0.0012099983 -0.0011549984   0.999999 0.0848 0.4494
-0.91356 -2.67729 0 0.0010449993 0.0004949997   0.999999 0.0091 0.4467
0.53322 1.64814 0 0.0014299985 -0.0000549999   0.999999 0.0826 0.4437
0.16034 0.38780 0 0.0004949999 0.0003849999   1.000000 0.5466 0.4512
-0.65254 0.31322 0 0.0002200000 -0.0002200000   1.000000 0.2993 0.4434
1.80847 2.20746 0 -0.0015399981 -0.0003299996   0.999999 0.0043 0.4435
-0.19017 0.97695 0 -0.0012649988 -0.0005499995   0.999999 0.1033 0.4419
0.88373 -4.16881 0 -0.0008249993 -0.0009899992   0.999999 0.0173 0.4387
0.45864 -0.31322 0 -0.0016499978 0.0000000000   0.999999 0.5368 0.4506
-1.08508 0.52949 0 0.0008249997 -0.0002749999   1.000000 0.1954 0.4474
-0.15288 1.50644 0 -0.0008799996 -0.0001649999   1.000000 0.4173 0.4542
0.36915 -1.49153 0 -0.0004949997 -0.0010449993   0.999999 0.4117 0.4510
-0.20508 1.47661 0 -0.0013199981 0.0010449985   0.999999 0.5737 0.4500
-0.74949 0.70102 0 0.0007149997 -0.0005499998   1.000000 0.0982 0.4377
1.37593 2.08068 0 0.0026399908 -0.0001099996   0.999997 0.0201 0.4554
1.51017 2.16271 0 -0.0002749999 0.0008799996   1.000000 0.0117 0.4505
2.23356 0.78305 0 -0.0002750000 -0.0003850000   1.000000 0.0173 0.4390
0.66746 -2.79661 0 -0.0015399977 0.0007699989   0.999999 0.0233 0.4419
-0.98068 -1.04407 0 -0.0008249997 -0.0001100000   1.000000 0.0245 0.4391
-0.04847 -0.11932 0 0.0001100000 0.0005499999   1.000000 0.0910 0.4545
0.84644 -2.80407 0 0.0002200000 0.0001100000   1.000000 0.0167 0.4470
-0.92847 0.91729 0 -0.0012649988 0.0004949995   0.999999 0.0095 0.4375
0.57051 1.67051 0 0.0005499999 0.0000550000   1.000000 0.0663 0.4507
0.82407 -1.49153 0 -0.0009899995 -0.0001649999   0.999999 0.2803 0.4433
1.30136 -2.00610 0 0.0007149996 -0.0007699996   0.999999 0.0065 0.4340
-0.76441 0.14915 0 0.0005499999 -0.0002749999   1.000000 0.0260 0.4388
-0.24983 2.64746 0 0.0003850000 -0.0000550000   1.000000 0.0795 0.4555
-0.64508 -1.84203 0 -0.0029149876 -0.0001649993   0.999996 0.0763 0.4542
-0.47356 0.46237 0 0.0021999946 -0.0001649996   0.999998 0.7452 0.4385
1.08508 -0.15661 0 0.0024749921 0.0004949984   0.999997 0.0058 0.4386
0.08576 -2.81898 0 -0.0010449994 -0.0000550000   0.999999 0.0838 0.4383
1.37593 -1.32746 0 0.0014299984 0.0004949994   0.999999 0.0212 0.4511
1.14475 -1.76746 0 0.0008249997 -0.0002749999   1.000000 0.0080 0.4501
0.17525 -2.67729 0 -0.0023649893 -0.0018699915   0.999995 0.0651 0.4515
-0.51085 0.99932 0 0.0019249962 -0.0004399991   0.999998 0.0725 0.4545
-0.77186 2.35661 0 -0.0013199988 -0.0003849996   0.999999 0.4483 0.4465
-0.84644 -2.37153 0 0.0003299998 0.0009349995   1.000000 0.1676 0.4467
1.04780 -0.76068 0 0.0010449994 0.0000550000   0.999999 0.0123 0.4440
0.92102 -0.44000 0 -0.0009349996 0.0001649999   1.000000 0.4836 0.4549
-3.23288 -4.16136 0 0.0009899995 0.0002199999   0.999999 0.0188 0.4423
0.00373 2.71458 0 -0.0012099991 -0.0001099999   0.999999 0.0425 0.4439
0.49593 -1.74508 0 -0.0002750000 -0.0000550000   1.000000 0.0960 0.4442
1.89051 1.38712 0 0.0014299982 -0.0007149991   0.999999 0.0124 0.4423
-0.18271 -2.99797 0 0.0007699997 0.0002749999   1.000000 0.0066 0.4473
-0.36169 0.83525 0 0.0000000000 0.0002200000   1.000000 0.0802 0.4436
0.58542 2.15525 0 -0.0018699967 0.0000000000   0.999998 0.4117 0.4535
1.13729 0.52203 0 0.0021449946 0.0006599983   0.999997 0.0757 0.4550
0.59288 2.60271 0 -0.0024199927 0.0004399987   0.999997 0.0844 0.4392
1.28644 -1.50644 0 -0.0000549999 -0.0016499978   0.999999 0.0320 0.4336
-0.39898 -0.41763 0 -0.0012649990 0.0000000000   0.999999 0.9000 0.4451
-0.11559 0.31322 0 0.0013199982 -0.0009899987   0.999999 0.4494 0.4424
0.82407 -2.56542 0 0.0009349996 0.0002749999   1.000000 0.0580 0.4376
